unnamed: 0,id,manufacturer,model,year,battery_type,battery_capacity_kwh,range_km,charging_type,charge_time_hr,price_usd,color,country_of_manufacture,autonomous_level,co2_emissions_g_per_km,safety_rating,units_sold_2024,warranty_years
664,664,Seat,Avenger,2019,Aluminum-ion,122.0,156,Level 2 Charging,11.4,39005.06,Pink,Finland,3.0,0.0,3.0,19118,4
665,665,Jaguar,I-PACE,2020,Calcium-ion,39.2,399,Vehicle-to-Grid (V2G),7.8,110188.23,Matte Black,South Africa,3.0,0.0,4.0,15817,3
667,667,Canoo,Pickup,2018,Nickel-manganese-cobalt,33.6,206,Mobile Charging,9.2,67419.05,Sunset Orange,Sweden,0.0,0.0,4.0,12634,4
669,669,Porsche,Panamera EV,2015,Nickel-manganese-cobalt,106.0,331,Overhead Pantograph Charging,3.6,141231.33,Green,Brazil,1.0,0.0,4.0,1741,4
670,670,Toyota,Lexus RZ,2016,Lithium-ion,104.3,474,Vehicle-to-Grid (V2G),2.7,52733.96,Midnight Black,Ireland,4.0,0.0,5.0,1634,5
671,671,Polestar,Polestar 2,2018,Solid-state,26.9,118,Battery Swapping,3.2,93855.81,Bronze,Austria,5.0,0.0,3.0,7205,5
674,674,Citroen,ë-C4,2024,Sodium-ion,146.0,398,Level 1 Charging,6.1,59701.25,Orange,Japan,4.0,0.0,3.0,17212,5
675,1397,Lotus,Evija,2021,Zinc-air,108.3,190,Level 2 Charging,8.5,123620.65,Navy Blue,Belgium,2.0,0.0,5.0,4744,4
678,677,Nissan,Leaf,2024,Lithium-titanate,110.5,320,Overhead Pantograph Charging,2.9,40712.88,Beige,France,5.0,0.0,4.0,17265,3
679,678,Honda,Honda e (discontinued),2020,Aluminum-ion,63.1,401,Vehicle-to-Grid (V2G),11.4,63149.66,Metallic Silver,Japan,5.0,0.0,4.0,14910,5
680,679,VinFast,VF 8,2019,Solid-state,146.0,355,CHAdeMO,5.9,48027.33,Copper,Finland,1.0,0.0,4.0,510,4
682,681,Hyundai,Ioniq 6,2017,Lithium-titanate,45.6,399,DC Fast Charging (DCFC),3.8,33856.4,Teal,Belgium,5.0,0.0,3.0,8560,4
683,682,Cadillac,Celestiq,2017,Zinc-air,76.7,548,Mobile Charging,9.8,46701.16,Navy Blue,Denmark,3.0,0.0,3.0,9743,5
684,683,Acura,ZDX (with GM Ultium),2023,Nickel-metal hydride,68.9,548,Vehicle-to-Grid (V2G),1.6,93188.57,Ice Silver,Hungary,5.0,0.0,4.0,15287,4
686,685,Citroen,ë-Spacetourer,2017,Nickel-cobalt-aluminum,107.1,336,Vehicle-to-Home (V2H),10.2,40159.09,Bronze,France,0.0,0.0,5.0,10856,3
687,686,Jaguar,I-PACE,2018,Lead-acid,38.7,479,Vehicle-to-Load (V2L),2.1,137406.28,Emerald Green,Sweden,2.0,0.0,4.0,6576,3
688,687,Audi,e-tron,2017,Zinc-air,134.4,366,CCS,3.3,42432.84,Black,Turkey,0.0,0.0,4.0,6030,3
689,688,Maserati,GranTurismo Folgore,2024,Flow batteries,77.1,436,CCS,5.5,106343.66,Midnight Black,Sweden,5.0,0.0,5.0,17913,3
691,690,Tesla,Cybertruck,2019,Lithium-ion,103.9,557,Vehicle-to-Home (V2H),1.0,138847.01,Gray,Australia,3.0,0.0,4.0,16404,5
692,691,Rivian,R1S,2023,Nickel-cobalt-aluminum,86.7,189,CHAdeMO,4.5,116305.09,Pink,Australia,1.0,0.0,4.0,12908,3
697,696,Chevrolet,Bolt EUV,2015,Sodium-ion,120.7,390,DC Fast Charging (DCFC),4.4,111883.34,Volcanic Yellow,South Africa,1.0,0.0,4.0,11681,5
699,698,Nissan,Leaf,2019,Aluminum-ion,127.7,299,Overhead Pantograph Charging,1.3,134576.8,Copper,China,1.0,0.0,5.0,10231,4
701,700,Lamborghini,Lanzador (upcoming EV),2025,Aluminum-ion,134.2,220,Vehicle-to-Load (V2L),1.3,143759.71,Sapphire Blue,Japan,0.0,0.0,5.0,2640,5
703,702,Cadillac,Celestiq,2025,Flow batteries,115.9,382,Vehicle-to-Load (V2L),1.1,121881.78,Ice Silver,Italy,3.0,0.0,3.0,12049,4
704,703,Lucid Motors,Lucid Gravity,2021,Aluminum-ion,27.5,218,DC Fast Charging (DCFC),7.3,57255.11,Racing Red,Saudi Arabia,0.0,0.0,3.0,2510,3
706,705,Dacia,Bigster EV (upcoming),2018,Nickel-manganese-cobalt,112.7,582,Overhead Pantograph Charging,9.5,65122.01,Ruby Red,Belgium,2.0,0.0,3.0,1769,4
708,707,Nissan,Ariya,2015,Lithium-sulfur,56.1,296,Solar Charging,10.0,40139.2,Bronze,Finland,0.0,0.0,3.0,7354,3
709,708,NIO,ET9,2025,Nickel-cobalt-aluminum,89.2,438,Solar Charging,0.9,121559.56,Black,Ireland,2.0,0.0,5.0,7095,3
710,709,Pininfarina,Battista,2021,Magnesium-ion,114.8,476,Level 2 Charging,9.8,96395.3,Volcanic Yellow,Czech Republic,4.0,0.0,5.0,17003,4
712,711,Chevrolet,Equinox EV,2019,Sodium-ion,54.9,228,Level 1 Charging,1.9,98212.93,Purple,Spain,3.0,0.0,4.0,1212,4
713,712,Great Wall Motors,ORA Ballet Cat,2023,Lithium-iron phosphate,73.1,396,DC Fast Charging (DCFC),3.7,103239.42,Purple,China,2.0,0.0,4.0,4168,3
714,713,Acura,ZDX (with GM Ultium),2017,Calcium-ion,100.3,125,Ultra-Fast Charging (350 kW+),1.8,34620.21,Sky Blue,Turkey,4.0,0.0,3.0,1992,5
716,715,Rimac,Nevera,2025,Nickel-cobalt-aluminum,29.3,318,Solar Charging,2.1,69184.87,Burgundy,Argentina,3.0,0.0,4.0,1020,3
717,716,BYD,Han EV,2019,Aluminum-ion,39.5,402,Level 1 Charging,1.7,55377.56,Purple,Turkey,5.0,0.0,4.0,7040,4
718,717,Jeep,Wrangler 4xe (PHEV),2025,Lithium-titanate,39.5,490,DC Fast Charging (DCFC),11.5,145035.02,Crimson Red,Singapore,4.0,0.0,5.0,3972,5
719,718,Faraday Future,FF 91,2024,Nickel-manganese-cobalt,105.7,366,Vehicle-to-Home (V2H),4.1,53402.83,Matte Green,Czech Republic,2.0,0.0,4.0,7565,4
720,719,Rimac,Nevera,2018,Nickel-manganese-cobalt,115.3,550,Vehicle-to-Grid (V2G),4.7,72238.15,Graphite Gray,China,5.0,0.0,4.0,7528,5
722,721,Acura,ZDX (with GM Ultium),2017,Aluminum-ion,79.0,185,CCS,5.3,121861.15,Cosmic Purple,New Zealand,1.0,0.0,3.0,5470,3
724,723,Kia,Soul EV,2016,Lithium-titanate,139.7,586,Vehicle-to-Home (V2H),11.0,105699.84,Racing Red,Vietnam,3.0,0.0,5.0,19318,5
725,724,Hyundai,Ioniq 5,2015,Zinc-air,97.1,445,Vehicle-to-Home (V2H),4.9,82630.44,Graphite Gray,Israel,0.0,0.0,3.0,18485,5
726,725,Lotus,Evija,2023,Calcium-ion,140.6,246,Mobile Charging,4.9,120876.03,Charcoal,Japan,5.0,0.0,4.0,17011,4
727,726,Ferrari,Ferrari EV (2025+),2020,Solid-state,65.2,184,CCS,3.8,88396.29,Crimson Red,Netherlands,2.0,0.0,3.0,9130,3
728,727,Kia,Niro EV,2023,Calcium-ion,86.1,186,Level 1 Charging,7.4,34769.4,Matte White,Saudi Arabia,0.0,0.0,4.0,6656,4
730,729,Renault,Megane E-Tech,2020,Magnesium-ion,30.3,506,Ultra-Fast Charging (350 kW+),8.9,69253.89,Graphite Gray,Mexico,5.0,0.0,3.0,10315,3
731,730,Zeekr,Zeekr 001,2023,Sodium-ion,44.8,385,Level 2 Charging,11.4,105274.21,Forest Green,Italy,1.0,0.0,3.0,15876,3
733,732,Li Auto,L9,2024,Nickel-cobalt-aluminum,102.0,220,Overhead Pantograph Charging,6.1,108832.92,Midnight Black,Poland,2.0,0.0,5.0,12851,5
736,735,XPeng,P5,2021,Nickel-cobalt-aluminum,53.9,127,Battery Swapping,6.1,56273.78,Emerald Green,Japan,3.0,0.0,5.0,6756,5
738,737,Maserati,Grecale Folgore,2017,Calcium-ion,89.6,540,Ultra-Fast Charging (350 kW+),3.8,49368.5,Turquoise,Mexico,4.0,0.0,3.0,656,5
739,738,Kia,EV9,2022,Lithium-ion,40.4,254,Level 1 Charging,3.1,122689.4,Forest Green,Japan,0.0,0.0,4.0,4298,5
740,739,Toyota,bZ4X,2016,Solid-state,85.6,460,Vehicle-to-Grid (V2G),0.7,119118.24,Matte White,Ireland,0.0,0.0,3.0,19847,4
741,740,VinFast,VF 8,2021,Lead-acid,116.7,254,Battery Swapping,5.8,41961.51,Ruby Red,Singapore,2.0,0.0,4.0,18382,4
742,741,Great Wall Motors,ORA Lightning Cat,2023,Lead-acid,51.8,108,Vehicle-to-Load (V2L),8.9,144174.89,Stealth Gray,Saudi Arabia,3.0,0.0,4.0,7605,4
747,746,Lamborghini,Lanzador (upcoming EV),2021,Lithium-ion,58.6,322,Solar Charging,8.8,135627.14,Bronze,South Africa,2.0,0.0,4.0,17145,5
750,749,Fisker,Ocean,2018,Lithium-sulfur,56.9,566,Vehicle-to-Grid (V2G),7.2,66690.04,Sapphire Blue,Thailand,4.0,0.0,3.0,19419,3
751,750,Kia,Niro EV,2019,Nickel-metal hydride,54.2,152,CHAdeMO,9.7,100478.05,Navy Blue,India,4.0,0.0,5.0,15512,3
757,756,Canoo,Lifestyle Vehicle,2022,Zinc-air,102.2,351,NACS,5.9,134992.42,Stealth Gray,Saudi Arabia,0.0,0.0,5.0,5019,5
760,759,Toyota,bZ4X,2017,Nickel-manganese-cobalt,25.8,411,Inductive (Wireless) Charging,8.4,79110.18,Emerald Green,USA,4.0,0.0,5.0,2821,5
761,760,Changan,SL03,2016,Aluminum-ion,31.8,473,DC Fast Charging (DCFC),2.6,100937.82,Black,Netherlands,1.0,0.0,5.0,8084,4
763,762,Porsche,Panamera EV,2019,Lithium-titanate,77.1,147,Vehicle-to-Load (V2L),4.6,73633.58,Navy Blue,South Africa,5.0,0.0,5.0,12637,3
765,764,Honda,e:Ny1,2016,Lead-acid,105.6,195,Vehicle-to-Load (V2L),2.1,100418.49,Turquoise,Singapore,4.0,0.0,3.0,11759,3
766,765,Mercedes-Benz,EQS SUV,2022,Sodium-ion,63.8,562,CCS,2.7,72960.54,Pearl White,Australia,0.0,0.0,5.0,18873,5
768,767,Zeekr,Zeekr 009,2024,Nickel-cobalt-aluminum,97.1,183,NACS,11.1,136391.43,Ice Silver,South Africa,4.0,0.0,4.0,1762,3
769,768,Subaru,Solterra,2020,Nickel-manganese-cobalt,71.5,335,Level 1 Charging,8.1,54048.78,Midnight Black,Poland,1.0,0.0,3.0,8019,3
770,769,Skoda,Elroq (upcoming),2020,Lithium-ion,82.1,276,CCS,5.9,112414.37,Ice Silver,Switzerland,5.0,0.0,3.0,3139,4
771,770,Volkswagen,ID.5,2017,Nickel-cobalt-aluminum,120.5,559,Solar Charging,9.9,117644.65,Brown,Ireland,0.0,0.0,5.0,881,3
773,772,NIO,ET9,2021,Nickel-metal hydride,57.0,298,Vehicle-to-Load (V2L),0.9,145021.53,Tan,Norway,5.0,0.0,3.0,11347,5
774,773,Renault,Megane E-Tech,2025,Calcium-ion,72.6,513,Level 1 Charging,2.4,45448.74,Graphite Gray,India,0.0,0.0,4.0,13843,3
776,775,Skoda,Enyaq,2017,Lithium-ion,63.8,578,Battery Swapping,2.8,127540.21,Volcanic Yellow,Australia,3.0,0.0,4.0,15081,4
778,777,Jaguar,I-PACE,2015,Lead-acid,116.0,227,NACS,1.5,41348.71,Volcanic Yellow,Sweden,3.0,0.0,4.0,7998,5
780,779,XPeng,P7,2017,Lithium-titanate,53.4,434,DC Fast Charging (DCFC),10.1,82012.23,Orange,Denmark,2.0,0.0,3.0,1600,4
782,781,VinFast,VF 9,2025,Nickel-metal hydride,55.7,336,Mobile Charging,1.6,56978.97,Cosmic Purple,Hungary,4.0,0.0,4.0,19264,4
783,782,Acura,ZDX (with GM Ultium),2023,Nickel-cobalt-aluminum,81.8,385,Level 1 Charging,4.4,68357.14,Platinum,Malaysia,5.0,0.0,3.0,12781,4
784,783,XPeng,P7,2025,Calcium-ion,94.3,140,Vehicle-to-Load (V2L),7.0,71435.9,Electric Blue,South Africa,2.0,0.0,4.0,968,3
785,784,GMC,Hummer EV Pickup,2024,Sodium-ion,93.4,312,Level 1 Charging,9.1,64066.52,Racing Red,Russia,3.0,0.0,5.0,4046,3
786,785,XPeng,G6,2018,Solid-state,94.2,191,NACS,9.3,148125.93,Cream,United Arab Emirates,1.0,0.0,4.0,11900,5
788,787,Genesis,GV70 Electric,2025,Aluminum-ion,32.8,397,Vehicle-to-Grid (V2G),11.7,79235.26,Emerald Green,Germany,1.0,0.0,3.0,19646,5
789,788,Renault,Kangoo E-Tech,2015,Sodium-ion,99.3,185,Vehicle-to-Load (V2L),8.4,144221.53,Black,Ireland,5.0,0.0,3.0,5288,4
790,789,BYD,Seagull,2018,Nickel-metal hydride,81.4,464,Inductive (Wireless) Charging,4.2,65157.83,Black,Switzerland,3.0,0.0,3.0,5795,4
791,790,MG,MG ZS EV,2024,Calcium-ion,63.1,571,NACS,3.3,116645.55,Red,USA,5.0,0.0,4.0,12626,3
792,791,VinFast,VF 9,2019,Aluminum-ion,113.1,161,Level 1 Charging,5.5,129330.46,Blue,Czech Republic,5.0,0.0,5.0,16762,5
793,792,Genesis,G80 Electric,2021,Magnesium-ion,36.1,174,Battery Swapping,9.2,99577.44,Burgundy,Canada,2.0,0.0,3.0,15813,3
794,793,Honda,e:Ny1,2020,Flow batteries,110.2,334,Vehicle-to-Load (V2L),9.2,120837.67,Pink,Czech Republic,2.0,0.0,5.0,9020,5
795,794,Chevrolet,Bolt EUV,2017,Lead-acid,57.5,213,Overhead Pantograph Charging,7.0,115656.38,Magenta,Netherlands,2.0,0.0,4.0,5060,5
798,797,Volvo,EX30,2018,Lithium-iron phosphate,39.5,411,CCS,8.0,72780.18,Sunset Orange,Singapore,0.0,0.0,5.0,7483,5
799,798,Lucid Motors,Lucid Gravity,2025,Lithium-ion,71.8,150,Mobile Charging,6.3,62576.83,Matte White,Saudi Arabia,0.0,0.0,3.0,8390,5
802,801,Lucid Motors,Lucid Air,2023,Zinc-air,47.9,349,Solar Charging,7.0,99805.63,Orange,Malaysia,1.0,0.0,4.0,16,4
803,802,Citroen,ë-Spacetourer,2024,Lithium-sulfur,84.0,190,Mobile Charging,6.3,91704.03,Ruby Red,Poland,4.0,0.0,5.0,16484,4
804,803,Acura,ZDX (with GM Ultium),2016,Magnesium-ion,142.9,349,Level 1 Charging,4.2,146922.53,Aurora Blue,Russia,0.0,0.0,3.0,14522,4
805,804,Acura,ZDX (with GM Ultium),2018,Magnesium-ion,34.1,218,Inductive (Wireless) Charging,4.0,66646.06,Navy Blue,South Africa,5.0,0.0,5.0,5065,4
806,805,Mercedes-Benz,EQB,2021,Magnesium-ion,42.3,180,NACS,4.2,91975.96,Aurora Blue,Ireland,5.0,0.0,4.0,9948,4
809,808,Lucid Motors,Lucid Air,2024,Lead-acid,77.2,240,CCS,1.4,49250.15,Volcanic Yellow,New Zealand,4.0,0.0,3.0,12781,5
810,809,Dacia,Bigster EV (upcoming),2018,Lithium-sulfur,148.3,400,Plug-in Hydrogen Refueling,1.2,36733.75,Pink,Portugal,3.0,0.0,3.0,2424,4
811,810,Opel,Grandland Electric,2021,Calcium-ion,39.7,177,Solar Charging,7.1,97420.37,Candy Apple Red,Belgium,4.0,0.0,5.0,9549,5
814,813,Nissan,Ariya,2015,Lead-acid,133.5,267,Vehicle-to-Load (V2L),3.8,70050.31,Red,China,4.0,0.0,5.0,2874,5
816,815,Peugeot,e-5008,2015,Nickel-cobalt-aluminum,94.7,103,Plug-in Hydrogen Refueling,0.7,57027.59,Brown,Sweden,1.0,0.0,5.0,14999,5
819,818,NIO,ET5,2022,Calcium-ion,116.7,478,Inductive (Wireless) Charging,4.9,83617.49,Cream,Denmark,3.0,0.0,3.0,16603,5
820,819,Renault,Megane E-Tech,2017,Magnesium-ion,47.3,581,Vehicle-to-Load (V2L),9.0,73006.84,Purple,Indonesia,0.0,0.0,4.0,16670,3
821,820,Changan,SL03,2015,Nickel-cobalt-aluminum,124.4,304,CCS,4.6,143487.81,Titanium,China,5.0,0.0,3.0,12769,4
824,823,XPeng,G9,2019,Zinc-air,61.7,501,Level 1 Charging,4.3,136658.45,Silver,Sweden,0.0,0.0,5.0,17209,3
825,824,Mercedes-Benz,EQS,2015,Sodium-ion,136.6,147,Vehicle-to-Grid (V2G),11.9,43489.27,Aurora Blue,Australia,4.0,0.0,5.0,23,4
827,826,Mini,Mini Electric,2016,Lithium-titanate,72.5,554,CCS,3.4,60080.48,Volcanic Yellow,Poland,3.0,0.0,5.0,8740,3
829,828,Rimac,Nevera,2024,Nickel-manganese-cobalt,82.9,276,Inductive (Wireless) Charging,7.7,128038.74,Matte Green,Thailand,1.0,0.0,4.0,3860,5
830,829,Toyota,Lexus UX 300e,2023,Aluminum-ion,63.9,556,NACS,3.4,126838.62,Champagne,United Arab Emirates,0.0,0.0,5.0,8613,3
832,831,Zeekr,Zeekr 001,2023,Nickel-metal hydride,71.7,581,Inductive (Wireless) Charging,2.1,111668.92,Navy Blue,Germany,5.0,0.0,3.0,18444,5
835,834,GMC,Hummer EV Pickup,2015,Magnesium-ion,73.3,173,Vehicle-to-Load (V2L),10.0,121751.15,Cobalt Blue,Belgium,1.0,0.0,3.0,8145,4
837,836,Volvo,EX90,2019,Calcium-ion,36.2,480,Vehicle-to-Home (V2H),2.3,135627.23,Stealth Gray,Mexico,0.0,0.0,3.0,15287,4
838,837,Jeep,Grand Cherokee 4xe (PHEV),2022,Magnesium-ion,57.8,367,CCS,1.5,117811.12,Gun Metal,Argentina,5.0,0.0,4.0,13817,3
840,839,Mahindra,XUV400,2024,Nickel-cobalt-aluminum,106.5,153,Vehicle-to-Load (V2L),6.9,130489.44,Beige,Ireland,5.0,0.0,5.0,3230,5
841,840,Kia,Soul EV,2018,Sodium-ion,95.4,463,Vehicle-to-Grid (V2G),9.9,116194.68,Silver,Brazil,3.0,0.0,5.0,1221,4
842,841,Canoo,MPDV,2021,Flow batteries,138.1,210,NACS,0.8,143513.97,Yellow,Czech Republic,0.0,0.0,4.0,11750,5
843,842,Fisker,Pear (upcoming),2018,Lithium-sulfur,78.0,124,Mobile Charging,5.8,148917.08,Gold,Netherlands,4.0,0.0,4.0,5637,4
844,843,Hyundai,Ioniq 6,2020,Zinc-air,90.0,512,Ultra-Fast Charging (350 kW+),4.1,66700.22,Volcanic Yellow,UK,2.0,0.0,4.0,6624,4
846,845,Citroen,Ami,2023,Nickel-metal hydride,71.7,456,DC Fast Charging (DCFC),2.8,40865.07,Gun Metal,Thailand,1.0,0.0,4.0,4359,4
848,847,Volvo,EX90,2025,Magnesium-ion,48.1,106,Solar Charging,3.3,32492.87,Sapphire Blue,New Zealand,3.0,0.0,3.0,13511,3
849,848,Lotus,Evija,2021,Flow batteries,94.8,561,Plug-in Hydrogen Refueling,9.1,114809.51,Turquoise,Spain,2.0,0.0,4.0,17706,4
850,849,Audi,e-tron GT,2020,Calcium-ion,127.6,459,Ultra-Fast Charging (350 kW+),9.6,99475.02,Yellow,Turkey,4.0,0.0,5.0,7465,5
852,851,Great Wall Motors,ORA Ballet Cat,2017,Solid-state,108.7,133,Battery Swapping,7.1,143682.14,Volcanic Yellow,Germany,3.0,0.0,3.0,12984,3
854,853,BMW,iX3,2020,Zinc-air,35.6,600,DC Fast Charging (DCFC),7.6,93572.64,Volcanic Yellow,Netherlands,1.0,0.0,3.0,5938,3
857,856,Lamborghini,Revuelto (PHEV),2025,Sodium-ion,32.4,100,Level 1 Charging,0.6,76170.42,Black,Singapore,0.0,0.0,5.0,16325,3
859,858,Faraday Future,FF 91,2019,Solid-state,65.4,192,NACS,10.9,89718.13,Gun Metal,Sweden,2.0,0.0,5.0,12741,4
860,859,Jaguar,I-PACE,2020,Lithium-iron phosphate,67.5,222,Vehicle-to-Load (V2L),2.7,78514.16,Teal,South Korea,3.0,0.0,5.0,19370,3
862,861,Zeekr,Zeekr 007,2016,Nickel-manganese-cobalt,23.1,153,Mobile Charging,7.0,103159.59,Magenta,Russia,2.0,0.0,5.0,1364,3
865,864,NIO,ES6,2016,Aluminum-ion,57.8,563,Ultra-Fast Charging (350 kW+),8.1,139829.4,Pink,Norway,1.0,0.0,3.0,5109,3
866,865,Cadillac,Lyriq,2024,Flow batteries,53.6,572,Vehicle-to-Grid (V2G),8.3,115220.69,Emerald Green,Poland,5.0,0.0,5.0,335,4
868,867,Acura,ZDX (with GM Ultium),2016,Nickel-metal hydride,137.3,350,DC Fast Charging (DCFC),2.6,69285.43,Racing Red,Spain,5.0,0.0,5.0,9386,4
870,869,Chevrolet,Silverado EV,2017,Solid-state,119.1,512,DC Fast Charging (DCFC),3.3,103838.5,Candy Apple Red,Sweden,0.0,0.0,3.0,6895,5
871,870,Rimac,Nevera,2024,Lithium-ion,143.3,274,Battery Swapping,11.1,72014.07,Metallic Silver,South Korea,1.0,0.0,3.0,6028,5
872,871,Lucid Motors,Lucid Gravity,2025,Lithium-titanate,77.1,546,Vehicle-to-Home (V2H),1.3,59493.13,Matte Black,Czech Republic,1.0,0.0,3.0,2134,4
874,873,Jaguar,I-PACE,2025,Lithium-ion,93.3,137,Level 1 Charging,8.0,139297.37,Matte Green,India,4.0,0.0,3.0,16074,5
876,875,Peugeot,e-208,2021,Magnesium-ion,59.0,121,Vehicle-to-Home (V2H),5.2,135576.6,Rose Gold,Austria,1.0,0.0,4.0,13799,4
877,876,Changan,Q05,2022,Nickel-manganese-cobalt,143.8,337,Overhead Pantograph Charging,4.4,109844.81,Gray,South Africa,1.0,0.0,5.0,11908,4
878,877,Lamborghini,Lanzador (upcoming EV),2020,Flow batteries,59.9,301,CHAdeMO,5.9,95139.44,Candy Apple Red,Poland,4.0,0.0,4.0,18077,3
879,878,Mini,Mini Cooper SE,2023,Nickel-cobalt-aluminum,43.4,326,Level 1 Charging,8.5,76316.48,Lime Green,Norway,5.0,0.0,5.0,13168,5
880,879,VinFast,VF 7,2017,Nickel-cobalt-aluminum,61.1,225,CHAdeMO,9.3,88402.2,Sapphire Blue,Finland,5.0,0.0,3.0,2809,3
881,880,Tesla,Model S,2020,Calcium-ion,31.7,576,Overhead Pantograph Charging,2.8,48072.35,Electric Blue,Poland,2.0,0.0,4.0,15567,4
882,881,Dacia,Jogger Hybrid,2019,Lithium-sulfur,33.2,387,NACS,10.9,48242.03,Tan,Canada,4.0,0.0,5.0,15386,5
883,882,Toyota,Lexus UX 300e,2018,Solid-state,106.3,175,Vehicle-to-Home (V2H),1.6,34725.4,Beige,New Zealand,1.0,0.0,4.0,14448,5
884,883,Ferrari,SF90 Stradale (PHEV),2022,Aluminum-ion,22.6,351,Overhead Pantograph Charging,10.7,148537.84,Turquoise,China,4.0,0.0,3.0,3636,5
885,884,Lucid Motors,Lucid DreamDrive,2020,Lithium-sulfur,112.5,585,DC Fast Charging (DCFC),4.6,148028.51,Champagne,Germany,4.0,0.0,4.0,6292,5
887,886,Hyundai,Ioniq 6,2023,Lithium-ion,37.0,600,Level 1 Charging,8.9,32305.46,Beige,Denmark,3.0,0.0,4.0,12292,4
890,889,Audi,e-tron GT,2024,Flow batteries,145.5,596,Vehicle-to-Home (V2H),7.8,69708.08,Lime Green,France,0.0,0.0,5.0,2659,3
891,890,Hyundai,Kona Electric,2015,Nickel-cobalt-aluminum,122.9,219,Inductive (Wireless) Charging,1.1,39529.43,Purple,South Africa,1.0,0.0,5.0,6096,4
893,892,Citroen,ë-C4,2017,Nickel-cobalt-aluminum,102.6,403,Solar Charging,7.4,90798.53,Copper,Switzerland,2.0,0.0,5.0,8246,4
895,894,Seat,Avenger,2024,Lithium-sulfur,114.5,263,Vehicle-to-Home (V2H),4.6,127315.84,Turquoise,Russia,3.0,0.0,3.0,7474,5
896,895,Mercedes-Benz,EQC,2020,Nickel-cobalt-aluminum,80.4,336,Mobile Charging,11.1,131577.79,Cream,Australia,3.0,0.0,4.0,13749,3
898,897,Toyota,Lexus RZ,2018,Lithium-ion,84.7,181,Solar Charging,10.0,132457.76,Bronze,Austria,4.0,0.0,3.0,15969,5
899,898,BMW,i4,2016,Solid-state,143.9,461,Vehicle-to-Load (V2L),7.5,46977.34,Matte Black,Russia,3.0,0.0,5.0,5197,4
901,900,Rimac,Nevera,2020,Flow batteries,139.0,597,Vehicle-to-Load (V2L),9.5,96599.49,Matte Green,Mexico,1.0,0.0,5.0,7501,5
902,901,Jeep,Grand Cherokee 4xe (PHEV),2018,Nickel-manganese-cobalt,93.2,555,Level 1 Charging,4.1,135687.38,Beige,Sweden,0.0,0.0,5.0,8716,3
903,902,Geely,Geometry C,2018,Magnesium-ion,120.1,464,CHAdeMO,4.7,123331.11,Aurora Blue,Belgium,0.0,0.0,4.0,18411,3
906,905,Geely,Emgrand EV,2021,Lead-acid,40.4,327,Mobile Charging,1.7,62826.25,Bronze,Denmark,3.0,0.0,4.0,555,3
907,906,BMW,i4,2023,Nickel-manganese-cobalt,67.9,261,Plug-in Hydrogen Refueling,6.8,105466.84,Ruby Red,Hungary,2.0,0.0,5.0,9270,4
909,908,Pininfarina,Battista,2021,Sodium-ion,117.6,352,Plug-in Hydrogen Refueling,6.8,92961.52,Ruby Red,Thailand,4.0,0.0,4.0,5212,3
912,911,Mahindra,XUV400,2020,Lithium-titanate,30.5,551,Overhead Pantograph Charging,6.4,129484.4,Cream,Switzerland,0.0,0.0,4.0,8704,5
914,913,Mini,Mini Aceman,2021,Lithium-iron phosphate,44.0,121,Plug-in Hydrogen Refueling,9.8,119137.61,Electric Blue,Denmark,5.0,0.0,5.0,7023,5
916,915,Renault,Kangoo E-Tech,2020,Nickel-manganese-cobalt,147.9,408,NACS,11.1,87621.07,Gun Metal,Czech Republic,5.0,0.0,5.0,3514,3
919,918,Tesla,Model S,2016,Lithium-titanate,50.5,545,Battery Swapping,3.6,114345.21,Aurora Blue,China,1.0,0.0,4.0,979,3
922,921,Canoo,Pickup,2023,Nickel-metal hydride,68.5,561,Overhead Pantograph Charging,8.9,94892.04,Purple,Brazil,4.0,0.0,4.0,9582,3
923,922,Canoo,MPDV,2022,Flow batteries,90.5,284,Vehicle-to-Grid (V2G),1.5,60384.04,Gray,Mexico,5.0,0.0,5.0,5383,3
925,924,Chevrolet,Equinox EV,2016,Zinc-air,20.5,578,NACS,9.0,112081.28,Burgundy,Mexico,2.0,0.0,5.0,12942,5
926,925,Mini,Mini Cooper SE,2018,Zinc-air,65.6,308,CCS,3.1,107268.27,Charcoal,Denmark,4.0,0.0,3.0,10045,3
928,927,Geely,Geometry A,2021,Sodium-ion,106.0,105,Solar Charging,4.4,74989.91,Magenta,Vietnam,3.0,0.0,5.0,16100,3
929,928,Mahindra,Born Electric (upcoming range),2020,Lithium-ion,53.3,342,Plug-in Hydrogen Refueling,9.2,122374.49,Brown,Israel,2.0,0.0,3.0,12450,3
930,929,Mahindra,XUV400,2022,Lithium-sulfur,90.7,142,Ultra-Fast Charging (350 kW+),8.8,115873.02,Yellow,Australia,2.0,0.0,3.0,10579,4
933,932,Lucid Motors,Lucid Gravity,2022,Lithium-iron phosphate,20.7,497,NACS,9.4,35264.96,Midnight Black,Austria,5.0,0.0,5.0,14570,5
935,934,Li Auto,MEGA,2015,Lithium-sulfur,76.7,459,Vehicle-to-Grid (V2G),1.3,40469.15,Lime Green,Brazil,4.0,0.0,3.0,3965,3
936,935,Mercedes-Benz,EQS,2024,Nickel-metal hydride,106.4,328,Overhead Pantograph Charging,6.9,87345.57,Burgundy,Norway,0.0,0.0,3.0,9841,3
